name,handedness,height,weight,avg,HR,cat
Art Shamsky,L,73,168,0.253,68,['excellent']
Steve Ellsworth,R,80,220,0.0,0,['poor']
Ron Cey,R,70,185,0.261,316,['excellent']
Skip Jutze,R,71,190,0.215,3,['poor']
Butch Wynegar,B,73,190,0.255,65,['excellent']
Ron LeFlore,R,72,200,0.28800000000000003,59,['excellent']
Bill Russell,R,72,175,0.263,46,['excellent']
Gene Tenace,R,72,190,0.24100000000000002,201,['excellent']
Bubba Morton,R,70,175,0.267,14,['good']
Ellie Rodriguez,R,71,185,0.245,16,['excellent']
Darrel Chaney,B,74,188,0.217,14,['poor']
Dick Nen,L,74,200,0.22399999999999998,21,['average']
Bryan Kelly,R,74,195,0.0,0,['poor']
Bill Freehan,R,75,203,0.262,200,['excellent']
Steve Nicosia,R,70,185,0.248,11,['good']
Ted Savage,R,73,185,0.233,34,['average']
Pete Mackanin,R,74,190,0.226,30,['average']
Rich Dauer,R,72,180,0.257,43,['excellent']
Mick Kelleher,R,69,176,0.213,0,['poor']
Rowland Office,L,72,170,0.259,32,['excellent']
Rick Leach,L,73,180,0.268,18,['excellent']
Dwayne Murphy,L,73,185,0.24600000000000002,166,['excellent']
Larry Harlow,L,74,185,0.248,12,['good']
Mike Epstein,L,75,230,0.244,130,['excellent']
Jerry Mumphrey,B,74,185,0.289,70,['excellent']
Don Sutton,R,73,185,0.14400000000000002,0,['poor']
Glenn Beckert,R,73,190,0.28300000000000003,22,['excellent']
Ron Davis,R,72,175,0.233,10,['poor']
Mike Shannon,R,75,195,0.255,68,['excellent']
Jason Thompson,L,76,200,0.261,208,['excellent']
Wayne Tolleson,B,69,160,0.24100000000000002,9,['good']
John Leister,R,74,200,0.0,0,['poor']
Don Cooper,R,73,185,0.0,0,['poor']
Mike Jorgensen,L,72,195,0.243,95,['excellent']
Ed Romero,R,71,160,0.247,8,['good']
Rick Joseph,R,73,192,0.243,13,['good']
Cecil Cooper,L,74,165,0.298,241,['excellent']
Bill Almon,R,75,180,0.254,36,['excellent']
Joe Ferguson,R,74,200,0.24,122,['excellent']
Jeff Jones,R,75,210,0.0,0,['poor']
Jerry Terrell,R,71,165,0.253,4,['good']
John Poloni,L,77,210,0.0,0,['poor']
Dave Revering,L,76,210,0.265,62,['excellent']
Curt Ford,L,70,150,0.245,7,['good']
Jerry Dybzinski,R,74,180,0.23399999999999999,3,['poor']
Mike Willis,L,74,205,0.0,0,['poor']
Bob Burda,L,71,174,0.22399999999999998,13,['poor']
Jesse Gonder,L,70,180,0.251,26,['excellent']
Gary Sutherland,R,72,185,0.243,24,['excellent']
Bob Coluccio,R,71,183,0.22,26,['average']
Dave Rader,L,71,165,0.257,30,['excellent']
Ron Gardenhire,R,72,175,0.23199999999999998,4,['poor']
Bill Sharp,L,70,178,0.255,9,['good']
Alan Bannister,R,71,170,0.27,19,['excellent']
Bob Watson,R,72,201,0.295,184,['excellent']
Ken Harrelson,R,74,190,0.239,131,['excellent']
Bobby Wine,R,73,187,0.215,30,['average']
Stefan Wever,R,80,245,0.0,0,['poor']
John Kennedy,R,72,185,0.225,32,['average']
Chico Ruiz,B,72,169,0.24,2,['good']
Dave Johnson,R,73,183,0.0,0,['poor']
Gail Hopkins,L,70,198,0.266,25,['excellent']
Doug Frobel,L,76,196,0.201,20,['average']
Luis Melendez,R,72,165,0.248,9,['good']
Jerry Augustine,L,72,183,0.0,0,['poor']
Bill Plummer,R,73,190,0.188,14,['poor']
Buck Rodgers,B,74,190,0.23199999999999998,31,['average']
Phil Niekro,R,73,180,0.16899999999999998,7,['poor']
Jeff Holly,L,77,210,0.0,0,['poor']
Tom Poquette,L,70,175,0.268,10,['good']
Eric Hetzel,R,75,175,0.0,0,['poor']
Brian Asselstine,L,73,175,0.254,12,['good']
Rick Miller,L,72,175,0.26899999999999996,28,['excellent']
Ed Charles,R,70,170,0.263,86,['excellent']
Luis Gomez,R,69,150,0.21,0,['poor']
Dave Lemanczyk,R,76,235,0.0,0,['poor']
Al Jones,R,76,210,0.0,0,['poor']
Floyd Rayford,R,70,190,0.244,38,['excellent']
Sam Hinds,R,78,215,0.0,0,['poor']
Tony Conigliaro,R,75,185,0.264,166,['excellent']
Clay Christiansen,R,77,205,0.0,0,['poor']
Jim Barr,R,75,205,0.162,1,['poor']
Jerry Remy,L,69,165,0.275,7,['good']
Larry Rothschild,L,74,180,0.0,0,['poor']
Frank Duffy,R,73,180,0.23199999999999998,26,['average']
Gary Lance,B,75,195,0.0,0,['poor']
Tom O'Malley,L,72,180,0.256,13,['good']
Phil Garner,R,70,175,0.26,109,['excellent']
Larry Pashnick,R,75,205,0.0,0,['poor']
Todd Fischer,R,70,170,0.0,0,['poor']
