name,handedness,height,weight,avg,HR,cat
Roger Freed,R,72,190,0.245,22,['excellent']
George Hendrick,R,75,195,0.278,267,['excellent']
Rod Carew,L,72,170,0.32799999999999996,92,['excellent']
Bob Davis,R,72,180,0.19699999999999998,6,['poor']
Toby Harrah,R,72,175,0.264,195,['excellent']
Rick Manning,L,73,180,0.257,56,['excellent']
Israel Sanchez,L,69,170,0.0,0,['poor']
Steve Burke,B,74,200,0.0,0,['poor']
Gary Matthews,R,74,185,0.281,234,['excellent']
Cesar Geronimo,L,72,165,0.258,51,['excellent']
Billy Bryan,L,76,200,0.21600000000000003,41,['average']
Terry Taylor,R,73,180,0.0,0,['poor']
Terry Whitfield,L,73,197,0.281,33,['excellent']
Mario Mendoza,R,71,170,0.215,4,['poor']
Fred Lynn,L,73,185,0.28300000000000003,306,['excellent']
Larry Hisle,R,74,193,0.273,166,['excellent']
Graig Nettles,L,72,180,0.248,390,['excellent']
Randy Nosek,R,76,215,0.0,0,['poor']
Dave Engle,R,75,210,0.262,31,['excellent']
Narciso Elvira,L,70,160,0.0,0,['poor']
Mike Easler,L,72,190,0.293,118,['excellent']
Mark Smith,R,74,215,0.0,0,['poor']
Paul Mitchell,R,73,195,0.0,0,['poor']
Rick Sweet,B,73,200,0.23399999999999999,6,['poor']
Thurman Munson,R,71,190,0.292,113,['excellent']
Rick Monday,L,75,193,0.264,241,['excellent']
Mike Sadek,R,69,165,0.226,5,['poor']
Mark Belanger,R,73,170,0.228,20,['average']
Ron Hunt,R,72,186,0.273,39,['excellent']
Joe Keough,L,72,185,0.24600000000000002,9,['good']
Butch Edge,R,75,203,0.0,0,['poor']
Vic Correll,R,70,185,0.22899999999999998,29,['average']
Jackie Hernandez,R,71,165,0.20800000000000002,12,['poor']
Tony Solaita,L,72,210,0.255,50,['excellent']
U L Washington,B,71,175,0.251,27,['excellent']
Gary Mielke,R,75,185,0.0,0,['poor']
Rick Henninger,R,78,225,0.0,0,['poor']
Joe Foy,R,72,215,0.248,58,['excellent']
Ed Goodson,L,75,180,0.26,30,['excellent']
Mark Brown,B,74,190,0.0,0,['poor']
Mickey Klutts,R,71,170,0.24100000000000002,14,['good']
Leroy Stanton,R,73,195,0.244,77,['excellent']
Rafael Vasquez,R,72,160,0.0,0,['poor']
Len Whitehouse,L,71,175,0.0,0,['poor']
Danny Ainge,R,76,175,0.22,2,['poor']
Adolfo Phillips,R,73,175,0.247,59,['excellent']
Marv Breeding,R,72,175,0.25,7,['good']
Steve Adkins,R,78,210,0.0,0,['poor']
Dick McAuliffe,L,71,176,0.247,197,['excellent']
Joe Horlen,R,72,170,0.134,0,['poor']
Glenn Burke,R,72,195,0.237,2,['poor']
Tony Mack,R,70,177,0.0,0,['poor']
Terry Humphrey,R,75,185,0.21100000000000002,6,['poor']
Bill Moran,R,76,210,0.0,0,['poor']
Enzo Hernandez,R,68,155,0.22399999999999998,2,['poor']
Cesar Gutierrez,R,69,155,0.235,0,['poor']
Coco Laboy,R,70,165,0.233,28,['average']
Ted Kubiak,B,72,175,0.231,13,['poor']
Jim Morrison,R,71,175,0.26,112,['excellent']
Tom Gilles,R,73,185,0.0,0,['poor']
Bobby Knoop,R,73,170,0.23600000000000002,56,['average']
